mistralai_Mistral-7B-Instruct-v0.3_disguised-Qwen_Qwen2.5-VL-7B-Instruct_responses-500,Qwen/Qwen2.5-VL-7B-Instruct,random_sample_5_Name,disguise_as,method,model,ALL CAPS,Blockquotes,Bullets,Code Formatting,Emojis,Exclamations,First-Person Pronouns,Greeting (Start),Header/Title,Links,List,Long Sentences,Markdown,Math Symbols,Numbered Steps,Parentheses,Questions,Repetition,Sign-off (End),Starts with List,average_disguised_response_token_length,average_distance_disguise_target,average_distance_source_target,diff_avg_embedding_distance,heuristic_avg_score,heuristic_avg_score_source_target,heuristic_diff,heuristic_diff_normalized,length_diff,source_target_ALL CAPS,source_target_Blockquotes,source_target_Bullets,source_target_Code Formatting,source_target_Emojis,source_target_Exclamations,source_target_First-Person Pronouns,source_target_Greeting (Start),source_target_Header/Title,source_target_Links,source_target_List,source_target_Long Sentences,source_target_Markdown,source_target_Math Symbols,source_target_Numbered Steps,source_target_Parentheses,source_target_Questions,source_target_Repetition,source_target_Sign-off (End),source_target_Starts with List,heuristic_diff_max,max_heuristic_diff_name
Qwen_Qwen2.5-VL-7B-Instruct_disguised-microsoft_Phi-4-mini-instruct_responses-500,microsoft/Phi-4-mini-instruct,random_sample_5_examples,Qwen/Qwen2.5-VL-7B-Instruct,0.834,1.0,0.854,0.988,0.996,0.842,0.786,0.98,0.93,0.992,0.766,0.67,0.764,0.782,0.902,0.748,0.93,0.932,0.998,0.966,278.4,0.6080212209339871,0.6136529037173996,0.0046098076973018,0.8830000000000002,0.8829,0.0001000000000002,0.0001132631102052,-0.0996592423037301,0.82,1.0,0.78,0.988,1.0,0.888,0.736,0.982,0.834,0.996,0.808,0.762,0.796,0.814,0.848,0.774,0.924,0.954,0.998,0.956,0.11510791228887406,Header/Title
meta-llama_Llama-3.1-8B-Instruct_disguised-microsoft_Phi-4-mini-instruct_responses-500,microsoft/Phi-4-mini-instruct,random_sample_5_examples,meta-llama/Llama-3.1-8B-Instruct,0.832,0.998,0.82,0.978,1.0,0.83,0.69,0.978,0.894,0.996,0.726,0.726,0.744,0.792,0.868,0.758,0.904,0.928,0.998,0.91,377.206,0.6554936067784515,0.6427793475450396,-0.0097932096567759,0.8685,0.8619000000000001,0.0065999999999999,0.0076575008701704,0.1567593364013469,0.788,1.0,0.728,0.98,1.0,0.802,0.67,0.98,0.93,0.994,0.75,0.79,0.752,0.806,0.854,0.744,0.836,0.946,0.998,0.89,0.1263736246377249,Bullets
microsoft_Phi-4-mini-instruct_disguised-microsoft_Phi-4-mini-instruct_responses-500,microsoft/Phi-4-mini-instruct,random_sample_5_examples,microsoft/Phi-4-mini-instruct,0.804,1.0,0.852,0.98,0.998,0.878,0.788,0.984,0.948,0.996,0.758,0.7,0.756,0.778,0.878,0.76,0.938,0.934,0.996,0.952,240.468,0.5789703248457956,0.0010532227634577,-0.9963683448101416,0.8838999999999999,1.0,-0.1161,-0.1161,-0.1537281128813599,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Blockquotes
mistralai_Mistral-7B-Instruct-v0.3_disguised-microsoft_Phi-4-mini-instruct_responses-500,microsoft/Phi-4-mini-instruct,random_sample_5_examples,mistralai/Mistral-7B-Instruct-v0.3,0.776,1.0,0.834,0.974,0.998,0.792,0.704,0.976,0.938,0.984,0.73,0.658,0.704,0.752,0.85,0.724,0.924,0.942,0.996,0.926,233.758,0.6626318446398327,0.6345023380178998,-0.021685888012216,0.8591,0.8655000000000002,-0.0064000000000001,-0.0073945696129407,-0.0470555089690286,0.806,0.998,0.844,0.98,0.998,0.834,0.73,0.982,0.934,0.982,0.786,0.714,0.668,0.754,0.734,0.77,0.916,0.95,0.994,0.936,0.1580381449858563,Numbered Steps
OpenGVLab_InternVL3-8B_disguised-microsoft_Phi-4-mini-instruct_responses-500,microsoft/Phi-4-mini-instruct,random_sample_5_examples,OpenGVLab/InternVL3-8B,0.816,1.0,0.774,0.98,0.994,0.768,0.744,0.968,0.846,0.996,0.782,0.794,0.764,0.792,0.888,0.776,0.904,0.952,0.998,0.952,406.042,0.5966160195277072,0.5903292605308276,-0.0052965870478625,0.8744,0.8821999999999999,-0.0077999999999999,-0.0088415325323055,0.2013788344068964,0.828,1.0,0.772,0.982,0.998,0.806,0.788,0.98,0.796,0.99,0.782,0.812,0.784,0.822,0.89,0.786,0.936,0.95,0.986,0.956,0.06281406956263723,Header/Title
Qwen_Qwen2.5-VL-7B-Instruct_disguised-mistralai_Mistral-7B-Instruct-v0.3_responses-500,mistralai/Mistral-7B-Instruct-v0.3,random_sample_5_examples,Qwen/Qwen2.5-VL-7B-Instruct,0.844,0.998,0.934,0.982,0.998,0.856,0.718,0.996,0.938,0.984,0.81,0.674,0.758,0.706,0.708,0.748,0.926,0.954,0.996,0.946,300.836,0.6294629917447739,0.6228502967387298,-0.0052803839637059,0.8737000000000001,0.8489999999999999,0.0247000000000002,0.0290930506478212,-0.0240787755518921,0.818,0.998,0.756,0.98,0.998,0.854,0.726,0.988,0.808,0.982,0.706,0.74,0.624,0.744,0.69,0.744,0.92,0.96,0.996,0.948,0.23544973233532104,Bullets
meta-llama_Llama-3.1-8B-Instruct_disguised-mistralai_Mistral-7B-Instruct-v0.3_responses-500,mistralai/Mistral-7B-Instruct-v0.3,random_sample_5_examples,meta-llama/Llama-3.1-8B-Instruct,0.802,0.998,0.868,0.978,0.996,0.81,0.694,0.984,0.926,0.982,0.73,0.674,0.698,0.722,0.692,0.738,0.902,0.972,0.996,0.924,382.154,0.652323293993147,0.6508608517160943,-0.0011222069282133,0.8543,0.8371999999999999,0.0171,0.020425226946966,0.2333077890057897,0.81,0.998,0.768,0.968,0.998,0.776,0.676,0.982,0.956,0.98,0.684,0.744,0.552,0.756,0.684,0.706,0.852,0.968,0.996,0.89,0.2644927488316529,Markdown
microsoft_Phi-4-mini-instruct_disguised-mistralai_Mistral-7B-Instruct-v0.3_responses-500,mistralai/Mistral-7B-Instruct-v0.3,random_sample_5_examples,microsoft/Phi-4-mini-instruct,0.784,0.998,0.946,0.978,0.998,0.826,0.724,0.986,0.96,0.986,0.79,0.724,0.814,0.72,0.76,0.74,0.944,0.952,0.996,0.93,229.074,0.6645089118441765,0.6344923411608033,-0.0231074224246788,0.8777999999999999,0.8655000000000002,0.0122999999999997,0.0142114384748697,-0.1323211369534954,0.806,0.998,0.844,0.98,0.998,0.834,0.73,0.982,0.934,0.982,0.786,0.714,0.668,0.754,0.734,0.77,0.916,0.95,0.994,0.936,0.21856287097959756,Markdown
mistralai_Mistral-7B-Instruct-v0.3_disguised-mistralai_Mistral-7B-Instruct-v0.3_responses-500,mistralai/Mistral-7B-Instruct-v0.3,random_sample_5_examples,mistralai/Mistral-7B-Instruct-v0.3,0.798,0.998,0.944,0.978,0.998,0.798,0.698,0.968,0.974,0.972,0.804,0.73,0.856,0.7,0.776,0.738,0.936,0.986,0.996,0.922,249.846,0.6098882488640262,0.0010859294102972,-0.9964452526836258,0.8785000000000001,1.0,-0.1214999999999999,-0.1214999999999999,0.0260661357631475,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0019999999800000023,Blockquotes
OpenGVLab_InternVL3-8B_disguised-mistralai_Mistral-7B-Instruct-v0.3_responses-500,mistralai/Mistral-7B-Instruct-v0.3,random_sample_5_examples,OpenGVLab/InternVL3-8B,0.852,0.998,0.78,0.974,0.992,0.812,0.722,0.974,0.856,0.982,0.712,0.728,0.6,0.746,0.69,0.756,0.91,0.982,0.994,0.94,384.33,0.6321018478445639,0.6241662834914349,-0.0063167759773463,0.85,0.8351000000000001,0.0148999999999999,0.0178421745898693,0.2155701925031215,0.838,0.998,0.7,0.974,1.0,0.82,0.75,0.994,0.778,0.984,0.664,0.706,0.528,0.724,0.688,0.732,0.92,0.976,0.988,0.94,0.13636363378099167,Markdown
Qwen_Qwen2.5-VL-7B-Instruct_disguised-OpenGVLab_InternVL3-8B_responses-500,OpenGVLab/InternVL3-8B,random_sample_5_examples,Qwen/Qwen2.5-VL-7B-Instruct,0.812,1.0,0.71,0.976,0.996,0.786,0.774,0.99,0.818,0.99,0.642,0.682,0.712,0.79,0.95,0.718,0.92,0.932,0.986,0.96,325.392,0.613046502203039,0.5788043161629046,-0.0287302618016248,0.8572000000000001,0.8843,-0.0270999999999999,-0.0306457084699761,-0.3246591190669649,0.816,1.0,0.748,0.982,0.998,0.822,0.768,0.994,0.846,0.994,0.806,0.786,0.796,0.832,0.882,0.784,0.916,0.956,0.988,0.972,0.07709750479481281,Numbered Steps
meta-llama_Llama-3.1-8B-Instruct_disguised-OpenGVLab_InternVL3-8B_responses-500,OpenGVLab/InternVL3-8B,random_sample_5_examples,meta-llama/Llama-3.1-8B-Instruct,0.808,1.0,0.688,0.97,0.998,0.736,0.696,0.988,0.772,0.988,0.676,0.684,0.714,0.816,0.926,0.752,0.858,0.962,0.988,0.93,460.43,0.6381092850813036,0.6126707919731473,-0.0203381022570036,0.8474999999999999,0.8643000000000001,-0.0168000000000001,-0.0194376952447068,-0.0167678599915502,0.792,1.0,0.72,0.974,0.998,0.728,0.702,0.984,0.794,0.992,0.796,0.806,0.804,0.852,0.88,0.766,0.852,0.956,0.988,0.902,0.05227272667871906,Numbered Steps
microsoft_Phi-4-mini-instruct_disguised-OpenGVLab_InternVL3-8B_responses-500,OpenGVLab/InternVL3-8B,random_sample_5_examples,microsoft/Phi-4-mini-instruct,0.818,1.0,0.698,0.968,0.996,0.768,0.776,0.99,0.78,0.996,0.628,0.728,0.662,0.754,0.904,0.742,0.916,0.94,0.984,0.942,270.682,0.6396689134195723,0.5903538773471524,-0.0400927823798125,0.8494999999999999,0.8821999999999999,-0.0326999999999999,-0.0370664248469734,-0.3885407305208391,0.828,1.0,0.772,0.982,0.998,0.806,0.788,0.98,0.796,0.99,0.782,0.812,0.784,0.822,0.89,0.786,0.936,0.95,0.986,0.956,0.01573033690190634,Numbered Steps
mistralai_Mistral-7B-Instruct-v0.3_disguised-OpenGVLab_InternVL3-8B_responses-500,OpenGVLab/InternVL3-8B,random_sample_5_examples,mistralai/Mistral-7B-Instruct-v0.3,0.784,1.0,0.662,0.962,0.998,0.782,0.672,0.992,0.756,0.99,0.626,0.654,0.628,0.724,0.872,0.692,0.92,0.968,0.988,0.952,246.288,0.6608777358026711,0.6241614453560232,-0.0285721174770262,0.8311,0.8351000000000001,-0.0040000000000001,-0.0047898455274818,-0.2581820961453937,0.838,0.998,0.7,0.974,1.0,0.82,0.75,0.994,0.778,0.984,0.664,0.706,0.528,0.724,0.688,0.732,0.92,0.976,0.988,0.94,0.26744185657788005,Numbered Steps
OpenGVLab_InternVL3-8B_disguised-OpenGVLab_InternVL3-8B_responses-500,OpenGVLab/InternVL3-8B,random_sample_5_examples,OpenGVLab/InternVL3-8B,0.862,1.0,0.736,0.976,0.99,0.742,0.782,0.978,0.784,0.988,0.76,0.812,0.816,0.854,0.956,0.79,0.9,0.974,0.99,0.96,452.318,0.5481075501605756,0.0009253605295923,-0.9966291254619724,0.8825000000000001,1.0,-0.1174999999999999,-0.1174999999999999,-0.0382955245547641,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Blockquotes
Qwen_Qwen2.5-VL-7B-Instruct_disguised-Qwen_Qwen2.5-VL-7B-Instruct_responses-500,Qwen/Qwen2.5-VL-7B-Instruct,stylistic_clustering,Qwen/Qwen2.5-VL-7B-Instruct,0.858,1.0,0.778,0.982,0.998,0.88,0.796,0.99,0.838,0.996,0.698,0.708,0.742,0.81,0.874,0.768,0.914,0.968,0.998,0.98,283.316,0.5676633103776948,0.0007982920205666,-0.99719139510145,0.8788,1.0,-0.1211999999999999,-0.1211999999999999,-0.2316674757071437,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Blockquotes
meta-llama_Llama-3.1-8B-Instruct_disguised-Qwen_Qwen2.5-VL-7B-Instruct_responses-500,Qwen/Qwen2.5-VL-7B-Instruct,stylistic_clustering,meta-llama/Llama-3.1-8B-Instruct,0.794,1.0,0.758,0.976,1.0,0.848,0.716,0.986,0.822,0.998,0.668,0.716,0.698,0.776,0.848,0.736,0.896,0.96,1.0,0.934,293.344,0.6407759625870131,0.6363044057166326,-0.0035013903442271,0.8565000000000002,0.8528000000000002,0.0036999999999999,0.0043386491557222,-0.1465131591450802,0.772,1.0,0.732,0.976,1.0,0.81,0.686,0.978,0.824,0.998,0.73,0.768,0.724,0.824,0.822,0.706,0.84,0.952,1.0,0.914,0.06666666587301594,Questions
microsoft_Phi-4-mini-instruct_disguised-Qwen_Qwen2.5-VL-7B-Instruct_responses-500,Qwen/Qwen2.5-VL-7B-Instruct,stylistic_clustering,microsoft/Phi-4-mini-instruct,0.722,1.0,0.748,0.982,0.996,0.858,0.664,0.98,0.812,0.994,0.65,0.688,0.682,0.75,0.826,0.724,0.916,0.94,1.0,0.954,260.658,0.6713525260299695,0.6136281723375877,-0.044922350791506,0.8442999999999999,0.8829,-0.0386,-0.0437195605391324,-0.3135284847832627,0.82,1.0,0.78,0.988,1.0,0.888,0.736,0.982,0.834,0.996,0.808,0.762,0.796,0.814,0.848,0.774,0.924,0.954,0.998,0.956,0.0020040079959518253,Sign-off (End)
mistralai_Mistral-7B-Instruct-v0.3_disguised-Qwen_Qwen2.5-VL-7B-Instruct_responses-500,Qwen/Qwen2.5-VL-7B-Instruct,stylistic_clustering,mistralai/Mistral-7B-Instruct-v0.3,0.784,1.0,0.754,0.97,1.0,0.852,0.572,0.982,0.808,0.994,0.616,0.648,0.594,0.688,0.762,0.728,0.922,0.958,1.0,0.974,231.822,0.6635827265112232,0.6228242525072898,-0.0316839652370595,0.8302999999999999,0.8489999999999999,-0.0186999999999999,-0.0220259128386336,-0.2006943106931313,0.818,0.998,0.756,0.98,0.998,0.854,0.726,0.988,0.808,0.982,0.706,0.74,0.624,0.744,0.69,0.744,0.92,0.96,0.996,0.948,0.1043478245746693,Numbered Steps
OpenGVLab_InternVL3-8B_disguised-Qwen_Qwen2.5-VL-7B-Instruct_responses-500,Qwen/Qwen2.5-VL-7B-Instruct,stylistic_clustering,OpenGVLab/InternVL3-8B,0.818,1.0,0.738,0.992,0.992,0.784,0.756,0.898,0.714,0.992,0.712,0.738,0.798,0.834,0.894,0.764,0.908,0.964,0.996,0.988,357.148,0.5872745614759453,0.5787960476080409,-0.0072710124085578,0.8639999999999999,0.8843,-0.0203,-0.0229560104037092,-0.035775725347734,0.816,1.0,0.748,0.982,0.998,0.822,0.768,0.994,0.846,0.994,0.806,0.786,0.796,0.832,0.882,0.784,0.916,0.956,0.988,0.972,0.016460905180443377,Starts with List
Qwen_Qwen2.5-VL-7B-Instruct_disguised-meta-llama_Llama-3.1-8B-Instruct_responses-500,meta-llama/Llama-3.1-8B-Instruct,stylistic_clustering,Qwen/Qwen2.5-VL-7B-Instruct,0.76,1.0,0.772,0.972,0.998,0.824,0.688,0.98,0.938,0.994,0.664,0.644,0.686,0.734,0.902,0.674,0.858,0.938,1.0,0.898,279.56,0.6537255161637069,0.6363123653653605,-0.0134981701294746,0.8462000000000002,0.8528000000000002,-0.0066,-0.0077392120075047,-0.2676136595547037,0.772,1.0,0.732,0.976,1.0,0.81,0.686,0.978,0.824,0.998,0.73,0.768,0.724,0.824,0.822,0.706,0.84,0.952,1.0,0.914,0.13834951288410785,Header/Title
meta-llama_Llama-3.1-8B-Instruct_disguised-meta-llama_Llama-3.1-8B-Instruct_responses-500,meta-llama/Llama-3.1-8B-Instruct,stylistic_clustering,meta-llama/Llama-3.1-8B-Instruct,0.822,1.0,0.772,0.982,1.0,0.91,0.712,0.988,0.948,0.996,0.764,0.784,0.796,0.832,0.908,0.722,0.842,0.934,1.0,0.91,273.144,0.5890187071140294,0.000663877018339,-0.9977483580617666,0.8811,1.0,-0.1189,-0.1189,-0.223438054422831,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Blockquotes
microsoft_Phi-4-mini-instruct_disguised-meta-llama_Llama-3.1-8B-Instruct_responses-500,meta-llama/Llama-3.1-8B-Instruct,stylistic_clustering,microsoft/Phi-4-mini-instruct,0.74,1.0,0.762,0.976,0.996,0.758,0.696,0.978,0.944,0.992,0.686,0.692,0.672,0.746,0.858,0.702,0.852,0.942,0.998,0.884,283.08,0.6811094830785703,0.642779759928699,-0.0289523639173952,0.8436999999999999,0.8619000000000001,-0.0182000000000002,-0.0211161387631978,-0.2658701808801855,0.788,1.0,0.728,0.98,1.0,0.802,0.67,0.98,0.93,0.994,0.75,0.79,0.752,0.806,0.854,0.744,0.836,0.946,0.998,0.89,0.04670329606176795,Bullets
mistralai_Mistral-7B-Instruct-v0.3_disguised-meta-llama_Llama-3.1-8B-Instruct_responses-500,meta-llama/Llama-3.1-8B-Instruct,stylistic_clustering,mistralai/Mistral-7B-Instruct-v0.3,0.756,1.0,0.754,0.97,1.0,0.834,0.68,0.984,0.954,0.99,0.638,0.644,0.538,0.712,0.698,0.692,0.838,0.964,1.0,0.892,292.492,0.6618782217090857,0.6508595193415185,-0.0083936814056619,0.8269,0.8371999999999999,-0.0102999999999999,-0.0123029144768274,-0.0544558693404625,0.81,0.998,0.768,0.968,0.998,0.776,0.676,0.982,0.956,0.98,0.684,0.744,0.552,0.756,0.684,0.706,0.852,0.968,0.996,0.89,0.07474226707806349,Exclamations
OpenGVLab_InternVL3-8B_disguised-meta-llama_Llama-3.1-8B-Instruct_responses-500,meta-llama/Llama-3.1-8B-Instruct,stylistic_clustering,OpenGVLab/InternVL3-8B,0.796,1.0,0.586,0.978,0.984,0.804,0.68,0.982,0.95,0.994,0.752,0.822,0.694,0.8,0.898,0.724,0.528,0.964,0.998,0.91,464.568,0.6542611864436331,0.6126613064351784,-0.0328353788351549,0.8421999999999998,0.8643000000000001,-0.0221000000000002,-0.0255698252921441,0.1552595940904815,0.792,1.0,0.72,0.974,0.998,0.728,0.702,0.984,0.794,0.992,0.796,0.806,0.804,0.852,0.88,0.766,0.852,0.956,0.988,0.902,0.19647354916280152,Header/Title
Qwen_Qwen2.5-VL-7B-Instruct_disguised-microsoft_Phi-4-mini-instruct_responses-500,microsoft/Phi-4-mini-instruct,stylistic_clustering,Qwen/Qwen2.5-VL-7B-Instruct,0.81,1.0,0.83,0.982,0.998,0.82,0.802,0.986,0.946,0.994,0.728,0.688,0.746,0.76,0.9,0.722,0.918,0.91,0.998,0.96,265.448,0.6349689704187824,0.613648399437501,-0.0170753438931699,0.8749,0.8829,-0.008,-0.0090610488164005,-0.2239422681208795,0.82,1.0,0.78,0.988,1.0,0.888,0.736,0.982,0.834,0.996,0.808,0.762,0.796,0.814,0.848,0.774,0.924,0.954,0.998,0.956,0.1342925643370196,Header/Title
