Name,heuristic_avg_score,semantic_score,stylistic_score,similarity_score_1_10,input_file_a,input_file_b,source,target
microsoft_Phi-3.5-mini-instruct_vs_microsoft_Phi-3.5-mini-instruct,1.0,4.004,3.974,9.8288,disguising/model-responses/base_500/microsoft_Phi-3.5-mini-instruct.csv,disguising/model-responses/base_500/microsoft_Phi-3.5-mini-instruct.csv,microsoft_Phi-3.5-mini-instruct,microsoft_Phi-3.5-mini-instruct
gpt-4o_vs_gpt-4o,1.0,4.0,3.978,9.911623246492985,disguising/model-responses/base_500/gpt-4o.csv,disguising/model-responses/base_500/gpt-4o.csv,gpt-4o,gpt-4o
deepseek-ai_DeepSeek-R1-Distill-Llama-8B_vs_deepseek-ai_DeepSeek-R1-Distill-Llama-8B,1.0,4.0,3.9384787472035794,9.573601789709173,disguising/model-responses/base_500/deepseek-ai_DeepSeek-R1-Distill-Llama-8B.csv,disguising/model-responses/base_500/deepseek-ai_DeepSeek-R1-Distill-Llama-8B.csv,deepseek-ai_DeepSeek-R1-Distill-Llama-8B,deepseek-ai_DeepSeek-R1-Distill-Llama-8B
microsoft_Phi-4-mini-instruct_vs_microsoft_Phi-4-mini-instruct,1.0,4.0,3.95959595959596,9.893535353535354,disguising/model-responses/base_500/microsoft_Phi-4-mini-instruct.csv,disguising/model-responses/base_500/microsoft_Phi-4-mini-instruct.csv,microsoft_Phi-4-mini-instruct,microsoft_Phi-4-mini-instruct
Qwen_Qwen3-1.7B_vs_Qwen_Qwen3-1.7B,1.0,3.997578692493947,3.8595641646489103,9.611380145278453,disguising/model-responses/base_500/Qwen_Qwen3-1.7B.csv,disguising/model-responses/base_500/Qwen_Qwen3-1.7B.csv,Qwen_Qwen3-1.7B,Qwen_Qwen3-1.7B
google_gemma-2-2b-it_vs_google_gemma-2-2b-it,1.0,4.0,3.923232323232323,9.875862068965516,disguising/model-responses/base_500/google_gemma-2-2b-it.csv,disguising/model-responses/base_500/google_gemma-2-2b-it.csv,google_gemma-2-2b-it,google_gemma-2-2b-it
Qwen_Qwen2.5-VL-7B-Instruct_vs_Qwen_Qwen2.5-VL-7B-Instruct,1.0,4.0,3.9428857715430863,9.817670682730924,disguising/model-responses/base_500/Qwen_Qwen2.5-VL-7B-Instruct.csv,disguising/model-responses/base_500/Qwen_Qwen2.5-VL-7B-Instruct.csv,Qwen_Qwen2.5-VL-7B-Instruct,Qwen_Qwen2.5-VL-7B-Instruct
Qwen_Qwen3-4B_vs_Qwen_Qwen3-4B,1.0,3.992125984251969,3.8805774278215215,9.601837270341209,disguising/model-responses/base_500/Qwen_Qwen3-4B.csv,disguising/model-responses/base_500/Qwen_Qwen3-4B.csv,Qwen_Qwen3-4B,Qwen_Qwen3-4B
allenai_Molmo-7B-O-0924_vs_allenai_Molmo-7B-O-0924,1.0,4.0,3.939516129032258,9.902424242424242,disguising/model-responses/base_500/allenai_Molmo-7B-O-0924.csv,disguising/model-responses/base_500/allenai_Molmo-7B-O-0924.csv,allenai_Molmo-7B-O-0924,allenai_Molmo-7B-O-0924
mistralai_Mistral-7B-Instruct-v0.1_vs_mistralai_Mistral-7B-Instruct-v0.1,1.0,4.0,3.9819277108433737,9.871285140562248,disguising/model-responses/base_500/mistralai_Mistral-7B-Instruct-v0.1.csv,disguising/model-responses/base_500/mistralai_Mistral-7B-Instruct-v0.1.csv,mistralai_Mistral-7B-Instruct-v0.1,mistralai_Mistral-7B-Instruct-v0.1
google_gemma-1.1-7b-it_vs_google_gemma-1.1-7b-it,1.0,3.997975708502024,3.923076923076923,9.898785425101217,disguising/model-responses/base_500/google_gemma-1.1-7b-it.csv,disguising/model-responses/base_500/google_gemma-1.1-7b-it.csv,google_gemma-1.1-7b-it,google_gemma-1.1-7b-it
gpt-3.5_vs_gpt-3.5,1.0,4.0,3.985971943887776,9.936,disguising/model-responses/base_500/gpt-3.5.csv,disguising/model-responses/base_500/gpt-3.5.csv,gpt-3.5,gpt-3.5
google_gemma-1.1-7b-it_vs_allenai_Molmo-7B-O-0924,0.9608870967741936,3.727180527383368,3.3184584178498984,8.392094017094017,disguising/model-responses/base_500/google_gemma-1.1-7b-it.csv,disguising/model-responses/base_500/allenai_Molmo-7B-O-0924.csv,google_gemma-1.1-7b-it,allenai_Molmo-7B-O-0924
allenai_Molmo-7B-O-0924_vs_google_gemma-1.1-7b-it,0.9608870967741936,3.736788617886179,3.332317073170732,8.359442060085836,disguising/model-responses/base_500/allenai_Molmo-7B-O-0924.csv,disguising/model-responses/base_500/google_gemma-1.1-7b-it.csv,allenai_Molmo-7B-O-0924,google_gemma-1.1-7b-it
mistralai_Mistral-7B-Instruct-v0.2_vs_allenai_Molmo-7B-O-0924,0.9598393574297188,3.724346076458752,3.2806841046277664,8.23524416135881,disguising/model-responses/base_500/mistralai_Mistral-7B-Instruct-v0.2.csv,disguising/model-responses/base_500/allenai_Molmo-7B-O-0924.csv,mistralai_Mistral-7B-Instruct-v0.2,allenai_Molmo-7B-O-0924
allenai_Molmo-7B-O-0924_vs_mistralai_Mistral-7B-Instruct-v0.2,0.9598393574297188,3.714141414141414,3.263636363636364,8.21701680672269,disguising/model-responses/base_500/allenai_Molmo-7B-O-0924.csv,disguising/model-responses/base_500/mistralai_Mistral-7B-Instruct-v0.2.csv,allenai_Molmo-7B-O-0924,mistralai_Mistral-7B-Instruct-v0.2
google_gemma-2-2b-it_vs_allenai_Molmo-7B-O-0924,0.9595573440643866,3.687246963562753,3.283400809716599,8.236730360934182,disguising/model-responses/base_500/google_gemma-2-2b-it.csv,disguising/model-responses/base_500/allenai_Molmo-7B-O-0924.csv,google_gemma-2-2b-it,allenai_Molmo-7B-O-0924
allenai_Molmo-7B-O-0924_vs_google_gemma-2-2b-it,0.9595573440643866,3.698989898989899,3.2585858585858585,8.234328358208955,disguising/model-responses/base_500/allenai_Molmo-7B-O-0924.csv,disguising/model-responses/base_500/google_gemma-2-2b-it.csv,allenai_Molmo-7B-O-0924,google_gemma-2-2b-it
meta-llama_Llama-3-8B-Instruct_vs_google_gemma-2-2b-it,0.959191919191919,3.665314401622718,3.2789046653144016,8.260775862068966,disguising/model-responses/base_500/meta-llama_Llama-3-8B-Instruct.csv,disguising/model-responses/base_500/google_gemma-2-2b-it.csv,meta-llama_Llama-3-8B-Instruct,google_gemma-2-2b-it
google_gemma-2-2b-it_vs_meta-llama_Llama-3-8B-Instruct,0.959191919191919,3.67479674796748,3.227642276422764,8.254446854663774,disguising/model-responses/base_500/google_gemma-2-2b-it.csv,disguising/model-responses/base_500/meta-llama_Llama-3-8B-Instruct.csv,google_gemma-2-2b-it,meta-llama_Llama-3-8B-Instruct
allenai_Molmo-7B-O-0924_vs_google_gemma-3-1b-it,0.9587174348697394,3.738430583501006,3.262575452716298,8.277966101694915,disguising/model-responses/base_500/allenai_Molmo-7B-O-0924.csv,disguising/model-responses/base_500/google_gemma-3-1b-it.csv,allenai_Molmo-7B-O-0924,google_gemma-3-1b-it
google_gemma-3-1b-it_vs_allenai_Molmo-7B-O-0924,0.9587174348697394,3.7183098591549295,3.301810865191147,8.341737288135594,disguising/model-responses/base_500/google_gemma-3-1b-it.csv,disguising/model-responses/base_500/allenai_Molmo-7B-O-0924.csv,google_gemma-3-1b-it,allenai_Molmo-7B-O-0924
meta-llama_Llama-3-8B-Instruct_vs_google_gemma-1.1-7b-it,0.958502024291498,3.676829268292683,3.2804878048780486,8.278372591006423,disguising/model-responses/base_500/meta-llama_Llama-3-8B-Instruct.csv,disguising/model-responses/base_500/google_gemma-1.1-7b-it.csv,meta-llama_Llama-3-8B-Instruct,google_gemma-1.1-7b-it
google_gemma-1.1-7b-it_vs_meta-llama_Llama-3-8B-Instruct,0.958502024291498,3.6839430894308944,3.2916666666666665,8.353846153846154,disguising/model-responses/base_500/google_gemma-1.1-7b-it.csv,disguising/model-responses/base_500/meta-llama_Llama-3-8B-Instruct.csv,google_gemma-1.1-7b-it,meta-llama_Llama-3-8B-Instruct
google_gemma-1.1-7b-it_vs_mistralai_Mistral-7B-Instruct-v0.2,0.9582329317269078,3.698189134808853,3.2686116700201207,8.246351931330473,disguising/model-responses/base_500/google_gemma-1.1-7b-it.csv,disguising/model-responses/base_500/mistralai_Mistral-7B-Instruct-v0.2.csv,google_gemma-1.1-7b-it,mistralai_Mistral-7B-Instruct-v0.2
mistralai_Mistral-7B-Instruct-v0.2_vs_google_gemma-1.1-7b-it,0.9582329317269078,3.701010101010101,3.2666666666666666,8.22136752136752,disguising/model-responses/base_500/mistralai_Mistral-7B-Instruct-v0.2.csv,disguising/model-responses/base_500/google_gemma-1.1-7b-it.csv,mistralai_Mistral-7B-Instruct-v0.2,google_gemma-1.1-7b-it
mistralai_Mistral-7B-Instruct-v0.2_vs_google_gemma-3-1b-it,0.9580160320641282,3.707661290322581,3.3044354838709675,8.410278372591007,disguising/model-responses/base_500/mistralai_Mistral-7B-Instruct-v0.2.csv,disguising/model-responses/base_500/google_gemma-3-1b-it.csv,mistralai_Mistral-7B-Instruct-v0.2,google_gemma-3-1b-it
google_gemma-3-1b-it_vs_mistralai_Mistral-7B-Instruct-v0.2,0.9580160320641282,3.719758064516129,3.2620967741935485,8.309302325581395,disguising/model-responses/base_500/google_gemma-3-1b-it.csv,disguising/model-responses/base_500/mistralai_Mistral-7B-Instruct-v0.2.csv,google_gemma-3-1b-it,mistralai_Mistral-7B-Instruct-v0.2
google_gemma-3-1b-it_vs_meta-llama_Llama-3-8B-Instruct,0.9577620967741935,3.7252525252525257,3.293939393939394,8.244776119402985,disguising/model-responses/base_500/google_gemma-3-1b-it.csv,disguising/model-responses/base_500/meta-llama_Llama-3-8B-Instruct.csv,google_gemma-3-1b-it,meta-llama_Llama-3-8B-Instruct
meta-llama_Llama-3-8B-Instruct_vs_google_gemma-3-1b-it,0.9577620967741935,3.728282828282828,3.319191919191919,8.305627705627705,disguising/model-responses/base_500/meta-llama_Llama-3-8B-Instruct.csv,disguising/model-responses/base_500/google_gemma-3-1b-it.csv,meta-llama_Llama-3-8B-Instruct,google_gemma-3-1b-it
google_gemma-3-1b-it_vs_google_gemma-1.1-7b-it,0.9577309236947792,3.702839756592292,3.3286004056795133,8.323467230443974,disguising/model-responses/base_500/google_gemma-3-1b-it.csv,disguising/model-responses/base_500/google_gemma-1.1-7b-it.csv,google_gemma-3-1b-it,google_gemma-1.1-7b-it
google_gemma-1.1-7b-it_vs_google_gemma-3-1b-it,0.9577309236947792,3.710685483870967,3.3014112903225805,8.361206896551725,disguising/model-responses/base_500/google_gemma-1.1-7b-it.csv,disguising/model-responses/base_500/google_gemma-3-1b-it.csv,google_gemma-1.1-7b-it,google_gemma-3-1b-it
google_gemma-2-2b-it_vs_google_gemma-1.1-7b-it,0.9576612903225804,3.706896551724138,3.2728194726166326,8.277467811158798,disguising/model-responses/base_500/google_gemma-2-2b-it.csv,disguising/model-responses/base_500/google_gemma-1.1-7b-it.csv,google_gemma-2-2b-it,google_gemma-1.1-7b-it
google_gemma-1.1-7b-it_vs_google_gemma-2-2b-it,0.9576612903225804,3.710526315789474,3.2651821862348176,8.272494669509594,disguising/model-responses/base_500/google_gemma-1.1-7b-it.csv,disguising/model-responses/base_500/google_gemma-2-2b-it.csv,google_gemma-1.1-7b-it,google_gemma-2-2b-it
google_gemma-2-2b-it_vs_mistralai_Mistral-7B-Instruct-v0.2,0.9575150300601204,3.690763052208835,3.259036144578314,8.14138655462185,disguising/model-responses/base_500/google_gemma-2-2b-it.csv,disguising/model-responses/base_500/mistralai_Mistral-7B-Instruct-v0.2.csv,google_gemma-2-2b-it,mistralai_Mistral-7B-Instruct-v0.2
mistralai_Mistral-7B-Instruct-v0.2_vs_google_gemma-2-2b-it,0.9575150300601204,3.7008032128514055,3.2700803212851404,8.242274678111588,disguising/model-responses/base_500/mistralai_Mistral-7B-Instruct-v0.2.csv,disguising/model-responses/base_500/google_gemma-2-2b-it.csv,mistralai_Mistral-7B-Instruct-v0.2,google_gemma-2-2b-it
allenai_Molmo-7B-O-0924_vs_meta-llama_Llama-3-8B-Instruct,0.95748987854251,3.684693877551021,3.263265306122449,8.16976241900648,disguising/model-responses/base_500/allenai_Molmo-7B-O-0924.csv,disguising/model-responses/base_500/meta-llama_Llama-3-8B-Instruct.csv,allenai_Molmo-7B-O-0924,meta-llama_Llama-3-8B-Instruct
meta-llama_Llama-3-8B-Instruct_vs_allenai_Molmo-7B-O-0924,0.95748987854251,3.674134419551935,3.276985743380856,8.248000000000001,disguising/model-responses/base_500/meta-llama_Llama-3-8B-Instruct.csv,disguising/model-responses/base_500/allenai_Molmo-7B-O-0924.csv,meta-llama_Llama-3-8B-Instruct,allenai_Molmo-7B-O-0924
google_gemma-3-1b-it_vs_google_gemma-2-2b-it,0.9569277108433736,3.7303030303030313,3.257575757575758,8.308154506437768,disguising/model-responses/base_500/google_gemma-3-1b-it.csv,disguising/model-responses/base_500/google_gemma-2-2b-it.csv,google_gemma-3-1b-it,google_gemma-2-2b-it
google_gemma-2-2b-it_vs_google_gemma-3-1b-it,0.9569277108433736,3.7096774193548394,3.277217741935484,8.319354838709678,disguising/model-responses/base_500/google_gemma-2-2b-it.csv,disguising/model-responses/base_500/google_gemma-3-1b-it.csv,google_gemma-2-2b-it,google_gemma-3-1b-it
meta-llama_Llama-3-8B-Instruct_vs_mistralai_Mistral-7B-Instruct-v0.2,0.9563253012048192,3.707661290322581,3.2651209677419355,8.1839248434238,disguising/model-responses/base_500/meta-llama_Llama-3-8B-Instruct.csv,disguising/model-responses/base_500/mistralai_Mistral-7B-Instruct-v0.2.csv,meta-llama_Llama-3-8B-Instruct,mistralai_Mistral-7B-Instruct-v0.2
mistralai_Mistral-7B-Instruct-v0.2_vs_meta-llama_Llama-3-8B-Instruct,0.9563253012048192,3.6733870967741935,3.2600806451612905,8.326736842105262,disguising/model-responses/base_500/mistralai_Mistral-7B-Instruct-v0.2.csv,disguising/model-responses/base_500/meta-llama_Llama-3-8B-Instruct.csv,mistralai_Mistral-7B-Instruct-v0.2,meta-llama_Llama-3-8B-Instruct
Qwen_Qwen3-8B_vs_Qwen_Qwen3-4B,0.92367758186398,3.766414141414141,3.20959595959596,8.238636363636363,disguising/model-responses/base_500/Qwen_Qwen3-8B.csv,disguising/model-responses/base_500/Qwen_Qwen3-4B.csv,Qwen_Qwen3-8B,Qwen_Qwen3-4B
Qwen_Qwen3-4B_vs_Qwen_Qwen3-8B,0.92367758186398,3.7954545454545454,3.2853535353535355,8.312342569269521,disguising/model-responses/base_500/Qwen_Qwen3-4B.csv,disguising/model-responses/base_500/Qwen_Qwen3-8B.csv,Qwen_Qwen3-4B,Qwen_Qwen3-8B
microsoft_Phi-4-mini-instruct_vs_microsoft_Phi-4-multimodal-instruct,0.9145290581162324,3.5562248995983934,3.032128514056225,7.768072289156627,disguising/model-responses/base_500/microsoft_Phi-4-mini-instruct.csv,disguising/model-responses/base_500/microsoft_Phi-4-multimodal-instruct.csv,microsoft_Phi-4-mini-instruct,microsoft_Phi-4-multimodal-instruct
microsoft_Phi-4-multimodal-instruct_vs_microsoft_Phi-4-mini-instruct,0.9145290581162324,3.57429718875502,2.9939759036144578,7.693762575452717,disguising/model-responses/base_500/microsoft_Phi-4-multimodal-instruct.csv,disguising/model-responses/base_500/microsoft_Phi-4-mini-instruct.csv,microsoft_Phi-4-multimodal-instruct,microsoft_Phi-4-mini-instruct
Qwen_Qwen3-1.7B_vs_Qwen_Qwen3-8B,0.909285714285714,3.7177033492822966,3.142344497607656,8.04642857142857,disguising/model-responses/base_500/Qwen_Qwen3-1.7B.csv,disguising/model-responses/base_500/Qwen_Qwen3-8B.csv,Qwen_Qwen3-1.7B,Qwen_Qwen3-8B
Qwen_Qwen3-8B_vs_Qwen_Qwen3-1.7B,0.909285714285714,3.692583732057416,3.1279904306220097,7.946428571428571,disguising/model-responses/base_500/Qwen_Qwen3-8B.csv,disguising/model-responses/base_500/Qwen_Qwen3-1.7B.csv,Qwen_Qwen3-8B,Qwen_Qwen3-1.7B
Qwen_Qwen3-4B_vs_Qwen_Qwen3-1.7B,0.9079075425790754,3.6958637469586377,3.105839416058394,7.909489051094891,disguising/model-responses/base_500/Qwen_Qwen3-4B.csv,disguising/model-responses/base_500/Qwen_Qwen3-1.7B.csv,Qwen_Qwen3-4B,Qwen_Qwen3-1.7B
Qwen_Qwen3-1.7B_vs_Qwen_Qwen3-4B,0.9079075425790754,3.739024390243902,3.153658536585366,8.081508515815084,disguising/model-responses/base_500/Qwen_Qwen3-1.7B.csv,disguising/model-responses/base_500/Qwen_Qwen3-4B.csv,Qwen_Qwen3-1.7B,Qwen_Qwen3-4B
mistralai_Mistral-7B-Instruct-v0.1_vs_gpt-3.5,0.9008999999999998,3.2224448897795592,2.619238476953908,6.565130260521042,disguising/model-responses/base_500/mistralai_Mistral-7B-Instruct-v0.1.csv,disguising/model-responses/base_500/gpt-3.5.csv,mistralai_Mistral-7B-Instruct-v0.1,gpt-3.5
gpt-3.5_vs_mistralai_Mistral-7B-Instruct-v0.1,0.9008999999999998,3.109218436873748,2.502004008016032,6.293,disguising/model-responses/base_500/gpt-3.5.csv,disguising/model-responses/base_500/mistralai_Mistral-7B-Instruct-v0.1.csv,gpt-3.5,mistralai_Mistral-7B-Instruct-v0.1
microsoft_Phi-4-multimodal-instruct_vs_gpt-4o,0.8982000000000001,3.437875751503006,2.792585170340681,7.352705410821644,disguising/model-responses/base_500/microsoft_Phi-4-multimodal-instruct.csv,disguising/model-responses/base_500/gpt-4o.csv,microsoft_Phi-4-multimodal-instruct,gpt-4o
gpt-4o_vs_microsoft_Phi-4-multimodal-instruct,0.8982000000000001,3.4397590361445785,2.8152610441767068,7.20281124497992,disguising/model-responses/base_500/gpt-4o.csv,disguising/model-responses/base_500/microsoft_Phi-4-multimodal-instruct.csv,gpt-4o,microsoft_Phi-4-multimodal-instruct
microsoft_Phi-4-mini-instruct_vs_gpt-4o,0.8956,3.48997995991984,2.779559118236473,7.348697394789579,disguising/model-responses/base_500/microsoft_Phi-4-mini-instruct.csv,disguising/model-responses/base_500/gpt-4o.csv,microsoft_Phi-4-mini-instruct,gpt-4o
gpt-4o_vs_microsoft_Phi-4-mini-instruct,0.8956,3.426706827309237,2.818273092369478,7.268537074148297,disguising/model-responses/base_500/gpt-4o.csv,disguising/model-responses/base_500/microsoft_Phi-4-mini-instruct.csv,gpt-4o,microsoft_Phi-4-mini-instruct
gpt-4o_vs_OpenGVLab_InternVL3-8B,0.8948,3.517,2.819,7.528056112224449,disguising/model-responses/base_500/gpt-4o.csv,disguising/model-responses/base_500/OpenGVLab_InternVL3-8B.csv,gpt-4o,OpenGVLab_InternVL3-8B
OpenGVLab_InternVL3-8B_vs_gpt-4o,0.8948,3.561122244488978,2.9248496993987976,7.637274549098197,disguising/model-responses/base_500/OpenGVLab_InternVL3-8B.csv,disguising/model-responses/base_500/gpt-4o.csv,OpenGVLab_InternVL3-8B,gpt-4o
Qwen_Qwen2.5-VL-7B-Instruct_vs_gpt-4o,0.8905,3.495991983967936,2.7725450901803605,7.365731462925852,disguising/model-responses/base_500/Qwen_Qwen2.5-VL-7B-Instruct.csv,disguising/model-responses/base_500/gpt-4o.csv,Qwen_Qwen2.5-VL-7B-Instruct,gpt-4o
gpt-4o_vs_Qwen_Qwen2.5-VL-7B-Instruct,0.8905,3.435871743486974,2.7284569138276558,7.170941883767536,disguising/model-responses/base_500/gpt-4o.csv,disguising/model-responses/base_500/Qwen_Qwen2.5-VL-7B-Instruct.csv,gpt-4o,Qwen_Qwen2.5-VL-7B-Instruct
meta-llama_Llama-3.2-3B-Instruct_vs_meta-llama_Llama-3.1-8B-Instruct,0.8902999999999999,3.489,2.774,7.173346693386773,disguising/model-responses/base_500/meta-llama_Llama-3.2-3B-Instruct.csv,disguising/model-responses/base_500/meta-llama_Llama-3.1-8B-Instruct.csv,meta-llama_Llama-3.2-3B-Instruct,meta-llama_Llama-3.1-8B-Instruct
meta-llama_Llama-3.1-8B-Instruct_vs_meta-llama_Llama-3.2-3B-Instruct,0.8902999999999999,3.434738955823293,2.6917670682730925,7.06312625250501,disguising/model-responses/base_500/meta-llama_Llama-3.1-8B-Instruct.csv,disguising/model-responses/base_500/meta-llama_Llama-3.2-3B-Instruct.csv,meta-llama_Llama-3.1-8B-Instruct,meta-llama_Llama-3.2-3B-Instruct
gpt-3.5_vs_Qwen_Qwen2.5-Coder-7B-Instruct,0.8852,3.108,2.468,6.342,disguising/model-responses/base_500/gpt-3.5.csv,disguising/model-responses/base_500/Qwen_Qwen2.5-Coder-7B-Instruct.csv,gpt-3.5,Qwen_Qwen2.5-Coder-7B-Instruct
Qwen_Qwen2.5-Coder-7B-Instruct_vs_gpt-3.5,0.8852,3.162324649298597,2.675350701402805,6.415831663326653,disguising/model-responses/base_500/Qwen_Qwen2.5-Coder-7B-Instruct.csv,disguising/model-responses/base_500/gpt-3.5.csv,Qwen_Qwen2.5-Coder-7B-Instruct,gpt-3.5
OpenGVLab_InternVL3-8B_vs_Qwen_Qwen2.5-VL-7B-Instruct,0.8843,3.428857715430862,2.7575150300601203,7.2008032128514055,disguising/model-responses/base_500/OpenGVLab_InternVL3-8B.csv,disguising/model-responses/base_500/Qwen_Qwen2.5-VL-7B-Instruct.csv,OpenGVLab_InternVL3-8B,Qwen_Qwen2.5-VL-7B-Instruct
Qwen_Qwen2.5-VL-7B-Instruct_vs_OpenGVLab_InternVL3-8B,0.8843,3.493987975951904,2.75250501002004,7.346693386773547,disguising/model-responses/base_500/Qwen_Qwen2.5-VL-7B-Instruct.csv,disguising/model-responses/base_500/OpenGVLab_InternVL3-8B.csv,Qwen_Qwen2.5-VL-7B-Instruct,OpenGVLab_InternVL3-8B
microsoft_Phi-4-mini-instruct_vs_Qwen_Qwen2.5-VL-7B-Instruct,0.8829,3.355,2.607,6.985915492957746,disguising/model-responses/base_500/microsoft_Phi-4-mini-instruct.csv,disguising/model-responses/base_500/Qwen_Qwen2.5-VL-7B-Instruct.csv,microsoft_Phi-4-mini-instruct,Qwen_Qwen2.5-VL-7B-Instruct
Qwen_Qwen2.5-VL-7B-Instruct_vs_microsoft_Phi-4-mini-instruct,0.8829,3.39859437751004,2.6626506024096384,7.065130260521042,disguising/model-responses/base_500/Qwen_Qwen2.5-VL-7B-Instruct.csv,disguising/model-responses/base_500/microsoft_Phi-4-mini-instruct.csv,Qwen_Qwen2.5-VL-7B-Instruct,microsoft_Phi-4-mini-instruct
Qwen_Qwen2.5-VL-7B-Instruct_vs_microsoft_Phi-4-multimodal-instruct,0.8826999999999998,3.415,2.73,7.061122244488978,disguising/model-responses/base_500/Qwen_Qwen2.5-VL-7B-Instruct.csv,disguising/model-responses/base_500/microsoft_Phi-4-multimodal-instruct.csv,Qwen_Qwen2.5-VL-7B-Instruct,microsoft_Phi-4-multimodal-instruct
