"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","data_dir","disguise_as","enable_thinking","max_prompt_tokens","max_tokens","method","metric.goal","metric.name","model","num_samples","output_dir","parameters.disguise_as.distribution","parameters.disguise_ass","parameters.method.distribution","parameters.methods","parameters.model.distribution","parameters.models","parameters.num_samples.distribution","parameters.num_samples","parameters.tensor_parallel_size.distribution","parameters.tensor_parallel_size","program","temperature","tensor_parallel_size","test","top_p","ALL CAPS","Blockquotes","Bullets","Code Formatting","Emojis","Exclamations","First-Person Pronouns","Greeting (Start)","Header/Title","Links","List","Long Sentences","Markdown","Math Symbols","Numbered Steps","Parentheses","Questions","Repetition","Sign-off (End)","Starts with List","average_disguised_response_token_length","average_distance_disguise_target","average_distance_source_target","diff_avg_embedding_distance","heuristic_avg_score","heuristic_avg_score_source_target","heuristic_diff","heuristic_diff_normalized","length_diff","source_target_ALL CAPS","source_target_Blockquotes","source_target_Bullets","source_target_Code Formatting","source_target_Emojis","source_target_Exclamations","source_target_First-Person Pronouns","source_target_Greeting (Start)","source_target_Header/Title","source_target_Links","source_target_List","source_target_Long Sentences","source_target_Markdown","source_target_Math Symbols","source_target_Numbered Steps","source_target_Parentheses","source_target_Questions","source_target_Repetition","source_target_Sign-off (End)","source_target_Starts with List"
"Qwen_Qwen2.5-VL-7B-Instruct_disguised-microsoft_Phi-4-mini-instruct_responses-500","","finished","-","","","2025-07-25T00:59:44.000Z","1541","7kuzc2yt","disguising/model-responses/base_500_all_models","microsoft/Phi-4-mini-instruct","false","4096","8000","embedding_clustering","","","Qwen/Qwen2.5-VL-7B-Instruct","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.812","1","0.854","0.984","1","0.854","0.79","0.984","0.914","0.994","0.816","0.706","0.808","0.802","0.914","0.764","0.924","0.946","0.996","0.964","402.576","0.5976695781698118","0.6136499861766255","0.013192561630452845","0.8912999999999999","0.8829","0.008399999999999852","0.009514101257220357","0.08512677532069564","0.82","1","0.78","0.988","1","0.888","0.736","0.982","0.834","0.996","0.808","0.762","0.796","0.814","0.848","0.774","0.924","0.954","0.998","0.956"
"meta-llama_Llama-3.1-8B-Instruct_disguised-microsoft_Phi-4-mini-instruct_responses-500","","finished","-","","","2025-07-25T00:59:13.000Z","468","7kuzc2yt","disguising/model-responses/base_500_all_models","microsoft/Phi-4-mini-instruct","false","4096","8000","embedding_clustering","","","meta-llama/Llama-3.1-8B-Instruct","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.784","1","0.742","0.98","1","0.836","0.7","0.986","0.708","0.984","0.696","0.754","0.638","0.764","0.876","0.73","0.844","0.946","0.998","0.928","503.102","0.6789791298081953","0.6427799727491754","-0.027387106310810268","0.8446999999999999","0.8619000000000001","-0.017200000000000215","-0.019955911358626535","0.3461113218507488","0.788","1","0.728","0.98","1","0.802","0.67","0.98","0.93","0.994","0.75","0.79","0.752","0.806","0.854","0.744","0.836","0.946","0.998","0.89"
"microsoft_Phi-4-mini-instruct_disguised-microsoft_Phi-4-mini-instruct_responses-500","","finished","-","","","2025-07-25T00:57:24.000Z","1253","7kuzc2yt","disguising/model-responses/base_500_all_models","microsoft/Phi-4-mini-instruct","false","4096","8000","embedding_clustering","","","microsoft/Phi-4-mini-instruct","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.812","1","0.862","0.984","0.996","0.886","0.77","0.98","0.95","0.994","0.786","0.76","0.794","0.808","0.896","0.742","0.94","0.936","0.996","0.874","269.306","0.5844013721432819","0.000858420813022031","-0.9970665307155788","0.8882999999999999","1","-0.11170000000000012","-0.11170000000000012","-0.14901227288847854","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"mistralai_Mistral-7B-Instruct-v0.3_disguised-microsoft_Phi-4-mini-instruct_responses-500","","finished","-","","","2025-07-25T00:51:40.000Z","478","7kuzc2yt","disguising/model-responses/base_500_all_models","microsoft/Phi-4-mini-instruct","false","4096","8000","embedding_clustering","","","mistralai/Mistral-7B-Instruct-v0.3","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.792","1","0.832","0.954","0.998","0.838","0.738","0.978","0.94","0.982","0.732","0.71","0.702","0.736","0.798","0.704","0.916","0.944","0.998","0.954","277.518","0.6570317184904313","0.6344840197357065","-0.01745832287393842","0.8623000000000001","0.8655000000000002","-0.0032000000000000917","-0.0036972848064703535","0.004391753226348533","0.806","0.998","0.844","0.98","0.998","0.834","0.73","0.982","0.934","0.982","0.786","0.714","0.668","0.754","0.734","0.77","0.916","0.95","0.994","0.936"
"OpenGVLab_InternVL3-8B_disguised-microsoft_Phi-4-mini-instruct_responses-500","","finished","-","","","2025-07-25T00:51:05.000Z","1337","7kuzc2yt","disguising/model-responses/base_500_all_models","microsoft/Phi-4-mini-instruct","false","4096","8000","embedding_clustering","","","OpenGVLab/InternVL3-8B","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.818","1","0.792","0.98","0.998","0.822","0.758","0.98","0.864","0.994","0.802","0.792","0.772","0.804","0.896","0.778","0.904","0.952","0.998","0.964","443.156","0.5842195361601219","0.5903487848801946","0.005218299021247243","0.8834","0.8821999999999999","0.00120000000000009","0.0013602357742009635","0.26195106379249555","0.828","1","0.772","0.982","0.998","0.806","0.788","0.98","0.796","0.99","0.782","0.812","0.784","0.822","0.89","0.786","0.936","0.95","0.986","0.956"
"Qwen_Qwen2.5-VL-7B-Instruct_disguised-mistralai_Mistral-7B-Instruct-v0.3_responses-500","","finished","-","","","2025-07-25T00:51:00.000Z","486","7kuzc2yt","disguising/model-responses/base_500_all_models","mistralai/Mistral-7B-Instruct-v0.3","false","4096","8000","embedding_clustering","","","Qwen/Qwen2.5-VL-7B-Instruct","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.826","0.998","0.914","0.982","0.998","0.846","0.732","0.99","0.912","0.984","0.82","0.686","0.706","0.738","0.7","0.76","0.934","0.946","0.994","0.946","366.706","0.6232187010136926","0.6228144377892022","-0.0003244401869430019","0.8706000000000002","0.8489999999999999","0.02160000000000029","0.025441696113074543","0.07470994175671974","0.818","0.998","0.756","0.98","0.998","0.854","0.726","0.988","0.808","0.982","0.706","0.74","0.624","0.744","0.69","0.744","0.92","0.96","0.996","0.948"
"meta-llama_Llama-3.1-8B-Instruct_disguised-mistralai_Mistral-7B-Instruct-v0.3_responses-500","","finished","-","","","2025-07-25T00:49:52.000Z","444","7kuzc2yt","disguising/model-responses/base_500_all_models","mistralai/Mistral-7B-Instruct-v0.3","false","4096","8000","embedding_clustering","","","meta-llama/Llama-3.1-8B-Instruct","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.822","0.998","0.812","0.978","0.998","0.802","0.678","0.984","0.918","0.984","0.694","0.656","0.578","0.73","0.662","0.75","0.9","0.97","0.996","0.928","476.656","0.6568738191361019","0.6508547029517711","-0.004602726087766987","0.8419000000000001","0.8371999999999999","0.0047000000000001485","0.005613951266125357","0.3627256761971095","0.81","0.998","0.768","0.968","0.998","0.776","0.676","0.982","0.956","0.98","0.684","0.744","0.552","0.756","0.684","0.706","0.852","0.968","0.996","0.89"
"microsoft_Phi-4-mini-instruct_disguised-mistralai_Mistral-7B-Instruct-v0.3_responses-500","","finished","-","","","2025-07-25T00:43:12.000Z","462","7kuzc2yt","disguising/model-responses/base_500_all_models","mistralai/Mistral-7B-Instruct-v0.3","false","4096","8000","embedding_clustering","","","microsoft/Phi-4-mini-instruct","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.752","0.998","0.95","0.978","0.994","0.864","0.718","0.986","0.968","0.982","0.814","0.712","0.856","0.708","0.772","0.754","0.944","0.95","0.996","0.926","261.148","0.6566631146717199","0.6344756593948586","-0.017184407844076696","0.8810999999999998","0.8655000000000002","0.015599999999999614","0.018024263431542013","-0.0744483703930148","0.806","0.998","0.844","0.98","0.998","0.834","0.73","0.982","0.934","0.982","0.786","0.714","0.668","0.754","0.734","0.77","0.916","0.95","0.994","0.936"
"mistralai_Mistral-7B-Instruct-v0.3_disguised-mistralai_Mistral-7B-Instruct-v0.3_responses-500","","finished","-","","","2025-07-25T00:43:06.000Z","1125","7kuzc2yt","disguising/model-responses/base_500_all_models","mistralai/Mistral-7B-Instruct-v0.3","false","4096","8000","embedding_clustering","","","mistralai/Mistral-7B-Instruct-v0.3","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.816","0.998","0.96","0.984","0.998","0.852","0.738","0.982","0.964","0.984","0.85","0.732","0.856","0.706","0.824","0.726","0.93","0.99","0.996","0.938","263.92","0.5965256758901555","0.0009494942185918938","-0.996821644593468","0.8911999999999999","1","-0.10880000000000012","-0.10880000000000012","0.10196541264864178","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"OpenGVLab_InternVL3-8B_disguised-mistralai_Mistral-7B-Instruct-v0.3_responses-500","","finished","-","","","2025-07-25T00:43:01.000Z","480","7kuzc2yt","disguising/model-responses/base_500_all_models","mistralai/Mistral-7B-Instruct-v0.3","false","4096","8000","embedding_clustering","","","OpenGVLab/InternVL3-8B","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.844","0.998","0.76","0.98","0.994","0.69","0.736","0.984","0.854","0.976","0.656","0.73","0.538","0.732","0.67","0.744","0.912","0.988","0.996","0.944","425.462","0.6223806235820145","0.6241651898046894","0.001431609013892903","0.8362999999999999","0.8351000000000001","0.0011999999999998678","0.0014369536582443632","0.27484512386486","0.838","0.998","0.7","0.974","1","0.82","0.75","0.994","0.778","0.984","0.664","0.706","0.528","0.724","0.688","0.732","0.92","0.976","0.988","0.94"
"Qwen_Qwen2.5-VL-7B-Instruct_disguised-OpenGVLab_InternVL3-8B_responses-500","","finished","-","","","2025-07-25T00:42:57.000Z","1495","7kuzc2yt","disguising/model-responses/base_500_all_models","OpenGVLab/InternVL3-8B","false","4096","8000","embedding_clustering","","","Qwen/Qwen2.5-VL-7B-Instruct","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.822","1","0.71","0.98","0.998","0.752","0.784","0.99","0.812","0.99","0.62","0.652","0.66","0.754","0.94","0.708","0.924","0.932","0.984","0.97","347.43","0.6124934020108777","0.5787933933211342","-0.028288745264192436","0.8491","0.8843","-0.03520000000000001","-0.03980549587244149","-0.3083537158895842","0.816","1","0.748","0.982","0.998","0.822","0.768","0.994","0.846","0.994","0.806","0.786","0.796","0.832","0.882","0.784","0.916","0.956","0.988","0.972"
"meta-llama_Llama-3.1-8B-Instruct_disguised-OpenGVLab_InternVL3-8B_responses-500","","finished","-","","","2025-07-25T00:42:51.000Z","524","7kuzc2yt","disguising/model-responses/base_500_all_models","OpenGVLab/InternVL3-8B","false","4096","8000","embedding_clustering","","","meta-llama/Llama-3.1-8B-Instruct","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.808","1","0.696","0.91","0.998","0.75","0.686","0.99","0.656","0.984","0.73","0.728","0.808","0.854","0.932","0.758","0.84","0.968","0.988","0.938","565.38","0.6410252103962413","0.6126631772680384","-0.022622872962111063","0.8511","0.8643000000000001","-0.0132000000000001","-0.015272474835126807","0.14016414799865484","0.792","1","0.72","0.974","0.998","0.728","0.702","0.984","0.794","0.992","0.796","0.806","0.804","0.852","0.88","0.766","0.852","0.956","0.988","0.902"
"microsoft_Phi-4-mini-instruct_disguised-OpenGVLab_InternVL3-8B_responses-500","","finished","-","","","2025-07-25T00:42:34.000Z","1529","7kuzc2yt","disguising/model-responses/base_500_all_models","OpenGVLab/InternVL3-8B","false","4096","8000","embedding_clustering","","","microsoft/Phi-4-mini-instruct","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.83","1","0.72","0.982","0.994","0.792","0.726","0.988","0.82","0.994","0.708","0.732","0.752","0.794","0.934","0.75","0.916","0.956","0.988","0.95","343.582","0.6327108247778622","0.5903510510280398","-0.034634203377413506","0.8663000000000001","0.8821999999999999","-0.015899999999999803","-0.018023124008161195","-0.2495734540323759","0.828","1","0.772","0.982","0.998","0.806","0.788","0.98","0.796","0.99","0.782","0.812","0.784","0.822","0.89","0.786","0.936","0.95","0.986","0.956"
"mistralai_Mistral-7B-Instruct-v0.3_disguised-OpenGVLab_InternVL3-8B_responses-500","","finished","-","","","2025-07-25T00:42:18.000Z","445","7kuzc2yt","disguising/model-responses/base_500_all_models","OpenGVLab/InternVL3-8B","false","4096","8000","embedding_clustering","","","mistralai/Mistral-7B-Instruct-v0.3","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.788","0.998","0.68","0.974","0.998","0.796","0.724","0.982","0.782","0.986","0.646","0.68","0.642","0.742","0.922","0.72","0.904","0.97","0.988","0.952","305.048","0.6601056698548575","0.6241678370273264","-0.02798300567203712","0.8437000000000001","0.8351000000000001","0.008600000000000052","0.0102981678840858","-0.22097717010022497","0.838","0.998","0.7","0.974","1","0.82","0.75","0.994","0.778","0.984","0.664","0.706","0.528","0.724","0.688","0.732","0.92","0.976","0.988","0.94"
"OpenGVLab_InternVL3-8B_disguised-OpenGVLab_InternVL3-8B_responses-500","","finished","-","","","2025-07-25T00:42:02.000Z","1428","7kuzc2yt","disguising/model-responses/base_500_all_models","OpenGVLab/InternVL3-8B","false","4096","8000","embedding_clustering","","","OpenGVLab/InternVL3-8B","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.87","1","0.738","0.982","0.996","0.758","0.746","0.98","0.786","0.99","0.804","0.84","0.826","0.87","0.946","0.794","0.886","0.974","0.984","0.966","559.578","0.5174700155468447","0.0007472435812852361","-0.997116099210812","0.8868","1","-0.11319999999999995","-0.11319999999999995","0.1479001723635775","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
