"Name","State","Notes","User","Tags","Created","Runtime","Sweep","data_dir","disguise_as","enable_thinking","method","metric.goal","metric.name","model","num_samples","parameters.disguise_as.distribution","parameters.disguise_ass","parameters.enable_thinking","parameters.method.distribution","parameters.methods","parameters.model.distribution","parameters.models","program","temperature","test","top_p","dtype","max_prompt_tokens","max_tokens","output_dir","parameters.temperature","parameters.top_p","run_name","tensor_parallel_size","average_disguised_response_token_length","ALL CAPS","Blockquotes","Bullets","Code Formatting","Emojis","Exclamations","First-Person Pronouns","Greeting (Start)","Header/Title","Links","List","Long Sentences","Markdown","Math Symbols","Numbered Steps","Parentheses","Questions","Repetition","Sign-off (End)","Starts with List","average_distance_disguise_target","average_distance_source_target","average_distance_to_source","average_distance_to_target","diff_avg_embedding_distance","heuristic_avg_score","heuristic_avg_score_source_target","heuristic_diff","heuristic_diff_normalized","length_diff","source_target_ALL CAPS","source_target_Blockquotes","source_target_Bullets","source_target_Code Formatting","source_target_Emojis","source_target_Exclamations","source_target_First-Person Pronouns","source_target_Greeting (Start)","source_target_Header/Title","source_target_Links","source_target_List","source_target_Long Sentences","source_target_Markdown","source_target_Math Symbols","source_target_Numbered Steps","source_target_Parentheses","source_target_Questions","source_target_Repetition","source_target_Sign-off (End)","source_target_Starts with List"
"mistralai_Mistral-7B-Instruct-v0.3_disguised-meta-llama_Llama-3.1-8B-Instruct_responses-500","finished","-","","","2025-06-26T09:11:51.000Z","1979","g6pxoi1r","disguising/model-responses/base_500_all_models","meta-llama/Llama-3.1-8B-Instruct","false","vibe_clustering","","","mistralai/Mistral-7B-Instruct-v0.3","","","","","","","","","","0","false","0.95","","4096","8000","disguising/model-responses/disguised","","","","1","270.892","0.772","0.998","0.766","0.968","0.992","0.832","0.662","0.98","0.964","0.992","0.676","0.716","0.692","0.76","0.876","0.722","0.836","0.956","0.998","0.9","0.6689518290964773","0.6508665654938377","","","-0.01370284250982384","0.8529","0.8371999999999999","0.015700000000000047","0.01875298614429055","-0.15557591867113438","0.81","0.998","0.768","0.968","0.998","0.776","0.676","0.982","0.956","0.98","0.684","0.744","0.552","0.756","0.684","0.706","0.852","0.968","0.996","0.89"
"meta-llama_Llama-3.1-8B-Instruct_disguised-microsoft_Phi-4-mini-instruct_responses-500","finished","-","","","2025-06-26T09:08:45.000Z","2065","g6pxoi1r","disguising/model-responses/base_500_all_models","microsoft/Phi-4-mini-instruct","false","vibe_clustering","","","meta-llama/Llama-3.1-8B-Instruct","","","","","","","","","","0","false","0.95","","4096","8000","disguising/model-responses/disguised","","","","1","432.872","0.806","1","0.776","0.982","1","0.836","0.742","0.968","0.894","0.996","0.748","0.764","0.748","0.788","0.878","0.75","0.87","0.938","0.998","0.914","0.6424095139701184","0.6427850281486035","","","0.00029218469747473305","0.8698","0.8619000000000001","0.007899999999999907","0.009165796496113128","0.21923327360318803","0.788","1","0.728","0.98","1","0.802","0.67","0.98","0.93","0.994","0.75","0.79","0.752","0.806","0.854","0.744","0.836","0.946","0.998","0.89"
"microsoft_Phi-4-mini-instruct_disguised-microsoft_Phi-4-mini-instruct_responses-500","finished","-","","","2025-06-26T09:07:40.000Z","1837","g6pxoi1r","disguising/model-responses/base_500_all_models","microsoft/Phi-4-mini-instruct","false","vibe_clustering","","","microsoft/Phi-4-mini-instruct","","","","","","","","","","0","false","0.95","","4096","8000","disguising/model-responses/disguised","","","","1","292.642","0.83","1","0.864","0.984","0.996","0.88","0.81","0.988","0.91","0.99","0.796","0.76","0.808","0.81","0.904","0.784","0.942","0.964","0.998","0.966","0.5557177314372437","0.0006253951451563884","","","-0.9977517646384952","0.8992000000000001","1","-0.10079999999999988","-0.10079999999999988","-0.05835881376734384","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"mistralai_Mistral-7B-Instruct-v0.3_disguised-microsoft_Phi-4-mini-instruct_responses-500","finished","-","","","2025-06-26T09:07:33.000Z","1833","g6pxoi1r","disguising/model-responses/base_500_all_models","microsoft/Phi-4-mini-instruct","false","vibe_clustering","","","mistralai/Mistral-7B-Instruct-v0.3","","","","","","","","","","0","false","0.95","","4096","8000","disguising/model-responses/disguised","","","","1","186.678","0.78","1","0.846","0.976","0.998","0.836","0.742","0.978","0.936","0.99","0.684","0.642","0.638","0.69","0.8","0.72","0.922","0.944","0.998","0.944","0.6604950539800019","0.6344749087492876","","","-0.020093242298743364","0.8532","0.8655000000000002","-0.0123000000000002","-0.014211438474870244","-0.2202169244625179","0.806","0.998","0.844","0.98","0.998","0.834","0.73","0.982","0.934","0.982","0.786","0.714","0.668","0.754","0.734","0.77","0.916","0.95","0.994","0.936"
"OpenGVLab_InternVL3-8B_disguised-microsoft_Phi-4-mini-instruct_responses-500","finished","-","","","2025-06-26T09:06:52.000Z","2027","g6pxoi1r","disguising/model-responses/base_500_all_models","microsoft/Phi-4-mini-instruct","false","vibe_clustering","","","OpenGVLab/InternVL3-8B","","","","","","","","","","0","false","0.95","","4096","8000","disguising/model-responses/disguised","","","","1","448.68","0.818","1","0.634","0.988","0.99","0.7","0.776","0.974","0.832","0.99","0.78","0.788","0.744","0.796","0.89","0.788","0.888","0.962","0.996","0.958","0.6011759572800645","0.5903439539268218","","","-0.009090912582628133","0.8645999999999999","0.8821999999999999","-0.01759999999999995","-0.01995012468827925","0.2538713738943696","0.828","1","0.772","0.982","0.998","0.806","0.788","0.98","0.796","0.99","0.782","0.812","0.784","0.822","0.89","0.786","0.936","0.95","0.986","0.956"
"meta-llama_Llama-3.1-8B-Instruct_disguised-mistralai_Mistral-7B-Instruct-v0.3_responses-500","finished","-","","","2025-06-26T08:36:49.000Z","1941","g6pxoi1r","disguising/model-responses/base_500_all_models","mistralai/Mistral-7B-Instruct-v0.3","false","vibe_clustering","","","meta-llama/Llama-3.1-8B-Instruct","","","","","","","","","","0","false","0.95","","4096","8000","disguising/model-responses/disguised","","","","1","380.112","0.83","0.998","0.85","0.98","0.998","0.794","0.704","0.982","0.924","0.982","0.756","0.636","0.68","0.716","0.694","0.76","0.9","0.94","0.996","0.928","0.673465956875527","0.6508509485872819","","","-0.01707673457535595","0.8523999999999999","0.8371999999999999","0.015199999999999991","0.01815575728619206","0.14478495896628849","0.81","0.998","0.768","0.968","0.998","0.776","0.676","0.982","0.956","0.98","0.684","0.744","0.552","0.756","0.684","0.706","0.852","0.968","0.996","0.89"
"microsoft_Phi-4-mini-instruct_disguised-mistralai_Mistral-7B-Instruct-v0.3_responses-500","finished","-","","","2025-06-26T08:36:43.000Z","1850","g6pxoi1r","disguising/model-responses/base_500_all_models","mistralai/Mistral-7B-Instruct-v0.3","false","vibe_clustering","","","microsoft/Phi-4-mini-instruct","","","","","","","","","","0","false","0.95","","4096","8000","disguising/model-responses/disguised","","","","1","321.658","0.79","0.998","0.94","0.982","0.996","0.816","0.716","0.964","0.948","0.986","0.796","0.702","0.836","0.718","0.772","0.752","0.928","0.956","0.994","0.944","0.6607743318555812","0.6344822539800782","","","-0.02029874093135006","0.8766999999999999","0.8655000000000002","0.011199999999999766","0.012940496822645597","-0.04862923933444841","0.806","0.998","0.844","0.98","0.998","0.834","0.73","0.982","0.934","0.982","0.786","0.714","0.668","0.754","0.734","0.77","0.916","0.95","0.994","0.936"
"mistralai_Mistral-7B-Instruct-v0.3_disguised-mistralai_Mistral-7B-Instruct-v0.3_responses-500","finished","-","","","2025-06-26T08:36:36.000Z","2110","g6pxoi1r","disguising/model-responses/base_500_all_models","mistralai/Mistral-7B-Instruct-v0.3","false","vibe_clustering","","","mistralai/Mistral-7B-Instruct-v0.3","","","","","","","","","","0","false","0.95","","4096","8000","disguising/model-responses/disguised","","","","1","282.002","0.822","1","0.97","0.988","0.994","0.816","0.728","0.982","0.976","0.984","0.802","0.668","0.866","0.706","0.798","0.746","0.966","0.982","0.996","0.934","0.6003554283208545","0.0005205353353430724","","","-0.9982674116895084","0.8862","1","-0.1138","-0.1138","0.03751912729666478","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"meta-llama_Llama-3.1-8B-Instruct_disguised-OpenGVLab_InternVL3-8B_responses-500","finished","-","","","2025-06-26T08:35:41.000Z","1903","g6pxoi1r","disguising/model-responses/base_500_all_models","OpenGVLab/InternVL3-8B","false","vibe_clustering","","","meta-llama/Llama-3.1-8B-Instruct","","","","","","","","","","0","false","0.95","","4096","8000","disguising/model-responses/disguised","","","","1","384.55","0.806","1","0.704","0.968","0.998","0.772","0.732","0.984","0.798","0.986","0.748","0.74","0.778","0.826","0.908","0.758","0.854","0.95","0.988","0.918","0.6286876314127896","0.6126573751416173","","","-0.012913618846115431","0.8607999999999999","0.8643000000000001","-0.0035000000000001696","-0.004049519842647425","-0.1192629581666499","0.792","1","0.72","0.974","0.998","0.728","0.702","0.984","0.794","0.992","0.796","0.806","0.804","0.852","0.88","0.766","0.852","0.956","0.988","0.902"
"microsoft_Phi-4-mini-instruct_disguised-OpenGVLab_InternVL3-8B_responses-500","finished","-","","","2025-06-26T08:35:17.000Z","1999","g6pxoi1r","disguising/model-responses/base_500_all_models","OpenGVLab/InternVL3-8B","false","vibe_clustering","","","microsoft/Phi-4-mini-instruct","","","","","","","","","","0","false","0.95","","4096","8000","disguising/model-responses/disguised","","","","1","322.406","0.814","1","0.702","0.978","0.994","0.772","0.71","0.978","0.78","0.994","0.674","0.732","0.716","0.792","0.914","0.754","0.92","0.95","0.986","0.944","0.6388825118894609","0.590321392939076","","","-0.039506154153617565","0.8551999999999997","0.8821999999999999","-0.027000000000000135","-0.03060530491951954","-0.3078085196946976","0.828","1","0.772","0.982","0.998","0.806","0.788","0.98","0.796","0.99","0.782","0.812","0.784","0.822","0.89","0.786","0.936","0.95","0.986","0.956"
"mistralai_Mistral-7B-Instruct-v0.3_disguised-OpenGVLab_InternVL3-8B_responses-500","finished","-","","","2025-06-26T08:32:52.000Z","2327","g6pxoi1r","disguising/model-responses/base_500_all_models","OpenGVLab/InternVL3-8B","false","vibe_clustering","","","mistralai/Mistral-7B-Instruct-v0.3","","","","","","","","","","0","false","0.95","","4096","8000","disguising/model-responses/disguised","","","","1","360.802","0.784","0.998","0.69","0.974","0.994","0.784","0.696","0.978","0.776","0.976","0.64","0.668","0.698","0.78","0.828","0.736","0.902","0.97","0.988","0.952","0.6411977010077646","0.6241709856798644","","","-0.013455932256764842","0.8405999999999999","0.8351000000000001","0.005499999999999838","0.006586037600287197","-0.12134736824504246","0.838","0.998","0.7","0.974","1","0.82","0.75","0.994","0.778","0.984","0.664","0.706","0.528","0.724","0.688","0.732","0.92","0.976","0.988","0.94"
