"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","data_dir","disguise_as","enable_thinking","max_prompt_tokens","max_tokens","method","metric.goal","metric.name","model","num_samples","output_dir","parameters.disguise_as.distribution","parameters.disguise_ass","parameters.method.distribution","parameters.methods","parameters.model.distribution","parameters.models","parameters.num_samples.distribution","parameters.num_samples","parameters.tensor_parallel_size.distribution","parameters.tensor_parallel_size","program","temperature","tensor_parallel_size","test","top_p","ALL CAPS","Blockquotes","Bullets","Code Formatting","Emojis","Exclamations","First-Person Pronouns","Greeting (Start)","Header/Title","Links","List","Long Sentences","Markdown","Math Symbols","Numbered Steps","Parentheses","Questions","Repetition","Sign-off (End)","Starts with List","average_disguised_response_token_length","average_distance_disguise_target","average_distance_source_target","diff_avg_embedding_distance","heuristic_avg_score","heuristic_avg_score_source_target","heuristic_diff","heuristic_diff_normalized","length_diff","source_target_ALL CAPS","source_target_Blockquotes","source_target_Bullets","source_target_Code Formatting","source_target_Emojis","source_target_Exclamations","source_target_First-Person Pronouns","source_target_Greeting (Start)","source_target_Header/Title","source_target_Links","source_target_List","source_target_Long Sentences","source_target_Markdown","source_target_Math Symbols","source_target_Numbered Steps","source_target_Parentheses","source_target_Questions","source_target_Repetition","source_target_Sign-off (End)","source_target_Starts with List"
"Qwen_Qwen2.5-VL-7B-Instruct_disguised-microsoft_Phi-4-mini-instruct_responses-500","","finished","-","","","2025-07-24T21:07:50.000Z","873","9xmkus9p","disguising/model-responses/base_500_all_models","microsoft/Phi-4-mini-instruct","false","4096","8000","random_sample_5_examples","","","Qwen/Qwen2.5-VL-7B-Instruct","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.834","1","0.854","0.988","0.996","0.842","0.786","0.98","0.93","0.992","0.766","0.67","0.764","0.782","0.902","0.748","0.93","0.932","0.998","0.966","278.4","0.6080212209339871","0.6136529037173996","0.004609807697301813","0.8830000000000002","0.8829","0.00010000000000021104","0.00011326311020524524","-0.09965924230373012","0.82","1","0.78","0.988","1","0.888","0.736","0.982","0.834","0.996","0.808","0.762","0.796","0.814","0.848","0.774","0.924","0.954","0.998","0.956"
"meta-llama_Llama-3.1-8B-Instruct_disguised-microsoft_Phi-4-mini-instruct_responses-500","","finished","-","","","2025-07-24T21:03:43.000Z","987","9xmkus9p","disguising/model-responses/base_500_all_models","microsoft/Phi-4-mini-instruct","false","4096","8000","random_sample_5_examples","","","meta-llama/Llama-3.1-8B-Instruct","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.832","0.998","0.82","0.978","1","0.83","0.69","0.978","0.894","0.996","0.726","0.726","0.744","0.792","0.868","0.758","0.904","0.928","0.998","0.91","377.206","0.6554936067784515","0.6427793475450396","-0.009793209656775948","0.8685","0.8619000000000001","0.006599999999999939","0.007657500870170482","0.15675933640134693","0.788","1","0.728","0.98","1","0.802","0.67","0.98","0.93","0.994","0.75","0.79","0.752","0.806","0.854","0.744","0.836","0.946","0.998","0.89"
"microsoft_Phi-4-mini-instruct_disguised-microsoft_Phi-4-mini-instruct_responses-500","","finished","-","","","2025-07-24T20:54:12.000Z","810","9xmkus9p","disguising/model-responses/base_500_all_models","microsoft/Phi-4-mini-instruct","false","4096","8000","random_sample_5_examples","","","microsoft/Phi-4-mini-instruct","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.804","1","0.852","0.98","0.998","0.878","0.788","0.984","0.948","0.996","0.758","0.7","0.756","0.778","0.878","0.76","0.938","0.934","0.996","0.952","240.468","0.5789703248457956","0.0010532227634577054","-0.9963683448101416","0.8838999999999999","1","-0.11610000000000008","-0.11610000000000008","-0.1537281128813599","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"mistralai_Mistral-7B-Instruct-v0.3_disguised-microsoft_Phi-4-mini-instruct_responses-500","","finished","-","","","2025-07-24T20:51:10.000Z","746","9xmkus9p","disguising/model-responses/base_500_all_models","microsoft/Phi-4-mini-instruct","false","4096","8000","random_sample_5_examples","","","mistralai/Mistral-7B-Instruct-v0.3","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.776","1","0.834","0.974","0.998","0.792","0.704","0.976","0.938","0.984","0.73","0.658","0.704","0.752","0.85","0.724","0.924","0.942","0.996","0.926","233.758","0.6626318446398327","0.6345023380178998","-0.021685888012216","0.8591","0.8655000000000002","-0.006400000000000183","-0.007394569612940707","-0.04705550896902867","0.806","0.998","0.844","0.98","0.998","0.834","0.73","0.982","0.934","0.982","0.786","0.714","0.668","0.754","0.734","0.77","0.916","0.95","0.994","0.936"
"OpenGVLab_InternVL3-8B_disguised-microsoft_Phi-4-mini-instruct_responses-500","","finished","-","","","2025-07-24T20:36:55.000Z","1031","9xmkus9p","disguising/model-responses/base_500_all_models","microsoft/Phi-4-mini-instruct","false","4096","8000","random_sample_5_examples","","","OpenGVLab/InternVL3-8B","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.816","1","0.774","0.98","0.994","0.768","0.744","0.968","0.846","0.996","0.782","0.794","0.764","0.792","0.888","0.776","0.904","0.952","0.998","0.952","406.042","0.5966160195277072","0.5903292605308276","-0.005296587047862516","0.8744","0.8821999999999999","-0.007799999999999918","-0.008841532532305508","0.20137883440689647","0.828","1","0.772","0.982","0.998","0.806","0.788","0.98","0.796","0.99","0.782","0.812","0.784","0.822","0.89","0.786","0.936","0.95","0.986","0.956"
"Qwen_Qwen2.5-VL-7B-Instruct_disguised-mistralai_Mistral-7B-Instruct-v0.3_responses-500","","finished","-","","","2025-07-24T19:59:00.000Z","494","9xmkus9p","disguising/model-responses/base_500_all_models","mistralai/Mistral-7B-Instruct-v0.3","false","4096","8000","random_sample_5_examples","","","Qwen/Qwen2.5-VL-7B-Instruct","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.844","0.998","0.934","0.982","0.998","0.856","0.718","0.996","0.938","0.984","0.81","0.674","0.758","0.706","0.708","0.748","0.926","0.954","0.996","0.946","300.836","0.6294629917447739","0.6228502967387298","-0.005280383963705914","0.8737000000000001","0.8489999999999999","0.024700000000000277","0.029093050647821295","-0.024078775551892157","0.818","0.998","0.756","0.98","0.998","0.854","0.726","0.988","0.808","0.982","0.706","0.74","0.624","0.744","0.69","0.744","0.92","0.96","0.996","0.948"
"meta-llama_Llama-3.1-8B-Instruct_disguised-mistralai_Mistral-7B-Instruct-v0.3_responses-500","","finished","-","","","2025-07-24T19:52:47.000Z","540","9xmkus9p","disguising/model-responses/base_500_all_models","mistralai/Mistral-7B-Instruct-v0.3","false","4096","8000","random_sample_5_examples","","","meta-llama/Llama-3.1-8B-Instruct","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.802","0.998","0.868","0.978","0.996","0.81","0.694","0.984","0.926","0.982","0.73","0.674","0.698","0.722","0.692","0.738","0.902","0.972","0.996","0.924","382.154","0.652323293993147","0.6508608517160943","-0.001122206928213362","0.8543","0.8371999999999999","0.017100000000000004","0.020425226946966083","0.23330778900578972","0.81","0.998","0.768","0.968","0.998","0.776","0.676","0.982","0.956","0.98","0.684","0.744","0.552","0.756","0.684","0.706","0.852","0.968","0.996","0.89"
"microsoft_Phi-4-mini-instruct_disguised-mistralai_Mistral-7B-Instruct-v0.3_responses-500","","finished","-","","","2025-07-24T19:50:37.000Z","496","9xmkus9p","disguising/model-responses/base_500_all_models","mistralai/Mistral-7B-Instruct-v0.3","false","4096","8000","random_sample_5_examples","","","microsoft/Phi-4-mini-instruct","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.784","0.998","0.946","0.978","0.998","0.826","0.724","0.986","0.96","0.986","0.79","0.724","0.814","0.72","0.76","0.74","0.944","0.952","0.996","0.93","229.074","0.6645089118441765","0.6344923411608033","-0.023107422424678822","0.8777999999999999","0.8655000000000002","0.012299999999999756","0.014211438474869732","-0.1323211369534954","0.806","0.998","0.844","0.98","0.998","0.834","0.73","0.982","0.934","0.982","0.786","0.714","0.668","0.754","0.734","0.77","0.916","0.95","0.994","0.936"
"mistralai_Mistral-7B-Instruct-v0.3_disguised-mistralai_Mistral-7B-Instruct-v0.3_responses-500","","finished","-","","","2025-07-24T19:42:10.000Z","501","9xmkus9p","disguising/model-responses/base_500_all_models","mistralai/Mistral-7B-Instruct-v0.3","false","4096","8000","random_sample_5_examples","","","mistralai/Mistral-7B-Instruct-v0.3","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.798","0.998","0.944","0.978","0.998","0.798","0.698","0.968","0.974","0.972","0.804","0.73","0.856","0.7","0.776","0.738","0.936","0.986","0.996","0.922","249.846","0.6098882488640262","0.001085929410297235","-0.9964452526836258","0.8785000000000001","1","-0.12149999999999994","-0.12149999999999994","0.02606613576314752","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"OpenGVLab_InternVL3-8B_disguised-mistralai_Mistral-7B-Instruct-v0.3_responses-500","","finished","-","","","2025-07-24T19:33:46.000Z","498","9xmkus9p","disguising/model-responses/base_500_all_models","mistralai/Mistral-7B-Instruct-v0.3","false","4096","8000","random_sample_5_examples","","","OpenGVLab/InternVL3-8B","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.852","0.998","0.78","0.974","0.992","0.812","0.722","0.974","0.856","0.982","0.712","0.728","0.6","0.746","0.69","0.756","0.91","0.982","0.994","0.94","384.33","0.6321018478445639","0.6241662834914349","-0.006316775977346354","0.85","0.8351000000000001","0.014899999999999912","0.01784217458986937","0.2155701925031215","0.838","0.998","0.7","0.974","1","0.82","0.75","0.994","0.778","0.984","0.664","0.706","0.528","0.724","0.688","0.732","0.92","0.976","0.988","0.94"
"Qwen_Qwen2.5-VL-7B-Instruct_disguised-OpenGVLab_InternVL3-8B_responses-500","","finished","-","","","2025-07-24T19:11:29.000Z","515","9xmkus9p","disguising/model-responses/base_500_all_models","OpenGVLab/InternVL3-8B","false","4096","8000","random_sample_5_examples","","","Qwen/Qwen2.5-VL-7B-Instruct","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.812","1","0.71","0.976","0.996","0.786","0.774","0.99","0.818","0.99","0.642","0.682","0.712","0.79","0.95","0.718","0.92","0.932","0.986","0.96","325.392","0.613046502203039","0.5788043161629046","-0.028730261801624867","0.8572000000000001","0.8843","-0.027099999999999905","-0.030645708469976145","-0.32465911906696493","0.816","1","0.748","0.982","0.998","0.822","0.768","0.994","0.846","0.994","0.806","0.786","0.796","0.832","0.882","0.784","0.916","0.956","0.988","0.972"
"meta-llama_Llama-3.1-8B-Instruct_disguised-OpenGVLab_InternVL3-8B_responses-500","","finished","-","","","2025-07-24T19:04:17.000Z","501","9xmkus9p","disguising/model-responses/base_500_all_models","OpenGVLab/InternVL3-8B","false","4096","8000","random_sample_5_examples","","","meta-llama/Llama-3.1-8B-Instruct","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.808","1","0.688","0.97","0.998","0.736","0.696","0.988","0.772","0.988","0.676","0.684","0.714","0.816","0.926","0.752","0.858","0.962","0.988","0.93","460.43","0.6381092850813036","0.6126707919731473","-0.0203381022570036","0.8474999999999999","0.8643000000000001","-0.016800000000000148","-0.019437695244706867","-0.016767859991550255","0.792","1","0.72","0.974","0.998","0.728","0.702","0.984","0.794","0.992","0.796","0.806","0.804","0.852","0.88","0.766","0.852","0.956","0.988","0.902"
"microsoft_Phi-4-mini-instruct_disguised-OpenGVLab_InternVL3-8B_responses-500","","finished","-","","","2025-07-24T19:02:40.000Z","525","9xmkus9p","disguising/model-responses/base_500_all_models","OpenGVLab/InternVL3-8B","false","4096","8000","random_sample_5_examples","","","microsoft/Phi-4-mini-instruct","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.818","1","0.698","0.968","0.996","0.768","0.776","0.99","0.78","0.996","0.628","0.728","0.662","0.754","0.904","0.742","0.916","0.94","0.984","0.942","270.682","0.6396689134195723","0.5903538773471524","-0.0400927823798125","0.8494999999999999","0.8821999999999999","-0.03269999999999995","-0.03706642484697342","-0.3885407305208391","0.828","1","0.772","0.982","0.998","0.806","0.788","0.98","0.796","0.99","0.782","0.812","0.784","0.822","0.89","0.786","0.936","0.95","0.986","0.956"
"mistralai_Mistral-7B-Instruct-v0.3_disguised-OpenGVLab_InternVL3-8B_responses-500","","finished","-","","","2025-07-24T18:54:03.000Z","513","9xmkus9p","disguising/model-responses/base_500_all_models","OpenGVLab/InternVL3-8B","false","4096","8000","random_sample_5_examples","","","mistralai/Mistral-7B-Instruct-v0.3","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.784","1","0.662","0.962","0.998","0.782","0.672","0.992","0.756","0.99","0.626","0.654","0.628","0.724","0.872","0.692","0.92","0.968","0.988","0.952","246.288","0.6608777358026711","0.6241614453560232","-0.028572117477026236","0.8311","0.8351000000000001","-0.004000000000000115","-0.004789845527481876","-0.2581820961453937","0.838","0.998","0.7","0.974","1","0.82","0.75","0.994","0.778","0.984","0.664","0.706","0.528","0.724","0.688","0.732","0.92","0.976","0.988","0.94"
"OpenGVLab_InternVL3-8B_disguised-OpenGVLab_InternVL3-8B_responses-500","","finished","-","","","2025-07-24T18:44:43.000Z","526","9xmkus9p","disguising/model-responses/base_500_all_models","OpenGVLab/InternVL3-8B","false","4096","8000","random_sample_5_examples","","","OpenGVLab/InternVL3-8B","","disguising/model-responses/disguised","","","","","","","","","","","","0","1","false","0.95","0.862","1","0.736","0.976","0.99","0.742","0.782","0.978","0.784","0.988","0.76","0.812","0.816","0.854","0.956","0.79","0.9","0.974","0.99","0.96","452.318","0.5481075501605756","0.0009253605295923073","-0.9966291254619724","0.8825000000000001","1","-0.11749999999999994","-0.11749999999999994","-0.03829552455476413","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
